ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback,day_chg,mt_state,mt_spread_pct,mt_ema_fast,mt_ema_slow
MRK,208,0.31,8.11,0.0385,True,True,True,True,False,True,True,False,False,111.38,115.68,106.69,100.37,-9.6,0.0,-1.9,False,-1.79,BULL,3.64,114.12,110.11
FCX,209,0.29,11.56,0.0255,True,True,True,True,True,True,True,False,False,63.01,61.16,54.55,51.43,-10.4,2.21,-6.2,False,-4.73,BULL,6.02,60.83,57.38
NWSA,210,0.26,9.04,0.0285,False,False,False,False,True,False,True,True,False,25.92,25.23,25.41,26.37,-16.1,-4.07,-4.1,True,-1.26,BEAR,-0.29,25.52,25.6
NDSN,211,0.17,6.29,0.0271,True,True,True,True,True,True,True,False,False,274.88,274.61,260.0,250.19,-7.9,-3.05,-4.2,True,-1.93,BULL,3.47,275.44,266.2
CI,212,0.16,5.62,0.0286,True,False,False,False,True,False,True,False,False,285.27,275.23,276.46,279.67,-13.3,-0.97,-5.1,False,-3.28,BEAR,-0.04,278.39,278.5
AWK,213,0.1,4.86,0.0205,False,False,False,False,False,False,True,False,False,124.29,132.31,130.72,132.52,-13.2,0.1,-2.6,False,-1.34,FRESH_BEAR,-0.95,129.93,131.17
CFG,214,0.07,5.65,0.0133,True,True,True,True,False,True,True,False,False,60.86,61.24,58.4,56.24,-10.0,-4.5,-7.3,False,-0.52,BULL,3.69,61.63,59.43
TJX,215,0.07,3.45,0.0194,False,True,True,True,False,False,True,False,False,147.43,156.86,152.97,148.9,-10.6,-3.87,-5.2,False,0.05,BULL,1.35,155.35,153.28
BALL,216,0.06,6.3,0.01,False,True,True,True,False,False,True,False,False,55.2,60.56,56.22,54.94,-18.3,-5.67,-9.4,False,-2.51,BULL,2.17,59.82,58.55
CINF,217,0.04,2.56,0.0149,True,True,True,True,True,False,True,False,False,166.42,162.05,161.44,159.18,-3.0,3.05,0.0,False,0.67,BULL,0.96,162.51,160.97
IFF,218,0.03,4.83,0.007,True,True,False,True,True,False,True,False,False,73.1,72.19,69.85,68.29,-11.9,-9.81,-11.9,True,-3.93,BULL,1.84,73.5,72.17
AVB,219,0.02,3.31,0.0075,True,False,False,False,True,False,True,False,False,180.84,172.64,175.2,177.81,-10.0,-1.76,-3.4,True,-1.47,BEAR,-0.29,175.39,175.9
HUM,220,0.02,8.1,0.0019,True,False,True,False,True,True,True,True,False,305.12,207.12,229.48,240.74,-1.0,10.97,0.0,False,1.25,FRESH_BULL,0.95,228.51,226.35
VICI,221,0.02,2.37,0.0082,False,False,False,False,False,False,True,False,False,27.9,28.13,28.37,29.14,-13.9,-3.26,-3.5,False,0.07,BEAR,-0.67,28.29,28.48
CHD,222,0.02,3.25,0.0047,True,True,False,True,False,False,True,False,False,94.05,95.27,91.37,91.24,-10.6,0.65,-1.1,False,-0.63,BULL,0.91,95.11,94.25
ORCL,223,0.01,4.59,0.0018,False,False,False,False,True,True,False,True,False,192.95,163.73,189.94,208.48,-40.8,-1.53,-1.5,True,-1.36,BEAR,-3.54,171.59,177.88
ALGN,224,0.01,3.31,0.0036,False,True,False,True,False,False,True,False,False,157.25,175.35,163.97,156.87,-24.1,-6.83,-9.6,False,-2.04,BULL,1.66,172.98,170.15
HIG,226,0.01,2.09,0.0059,False,True,True,True,False,False,True,False,False,133.92,135.74,134.19,133.1,-6.3,1.44,-0.3,False,-0.25,BULL,0.59,135.18,134.39
ELV,227,-0.0,-0.92,0.0001,True,True,True,False,True,True,True,True,False,392.68,326.0,333.52,327.24,-2.8,3.86,-1.7,False,-1.02,FRESH_BULL,1.94,344.23,337.67
ACGL,228,-0.0,-0.27,0.0001,False,True,True,True,False,False,True,False,False,93.98,95.26,94.14,93.21,-7.8,0.19,-0.8,False,0.56,BULL,0.39,95.07,94.7
DAL,229,0.0,1.47,0.0007,True,True,True,True,True,True,True,False,False,70.23,67.12,66.06,64.04,-6.5,-4.23,-4.2,True,-1.84,BULL,2.91,68.47,66.53
EXR,230,-0.0,-0.41,0.0001,False,True,False,True,False,False,True,False,False,136.9,138.91,137.26,137.1,-9.3,-4.47,-5.4,False,-3.72,BULL,0.52,139.74,139.03
YUM,231,-0.0,-0.93,0.0014,False,True,True,True,False,False,True,False,False,149.97,157.64,153.65,151.58,-10.8,-1.3,-4.6,False,-0.44,BULL,0.77,156.59,155.4
AMT,232,0.0,0.16,0.0,False,False,False,False,False,False,True,False,False,170.63,176.94,177.76,181.84,-24.4,-3.34,-5.7,False,0.08,BEAR,-1.19,177.33,179.47
MSCI,233,-0.0,-1.35,0.001,False,True,True,True,False,False,True,True,False,561.72,563.23,562.97,562.16,-9.7,-4.05,-4.5,False,-1.4,FRESH_BULL,0.49,566.59,563.85
OMC,234,-0.0,-0.64,0.0002,False,True,True,True,False,False,True,True,False,70.83,76.64,75.99,75.7,-16.6,-8.08,-8.8,False,-1.05,FRESH_BEAR,-0.34,75.83,76.09
MET,235,0.0,0.45,0.0001,True,False,True,False,True,False,True,False,False,79.78,73.72,75.88,76.33,-2.0,2.96,0.0,False,0.76,FRESH_BULL,0.33,75.78,75.53
KEY,236,0.0,1.12,0.0006,True,True,True,True,True,True,True,False,False,21.04,20.8,20.03,19.54,-8.5,-2.59,-5.4,True,-0.19,BULL,2.92,21.04,20.44
KDP,237,-0.0,-0.86,0.0004,True,False,False,False,True,False,True,False,False,28.93,27.31,27.53,27.87,-15.6,0.35,-1.3,False,-0.58,FRESH_BULL,0.04,28.0,27.99
WM,238,-0.0,-0.25,0.0001,False,True,False,True,False,False,True,False,False,219.82,228.63,221.59,221.45,-10.5,2.07,-3.5,False,0.46,BULL,0.28,226.0,225.38
GILD,239,-0.01,-2.74,0.0021,False,True,True,True,False,True,True,False,False,129.58,137.27,131.53,126.81,-16.4,-1.33,-4.9,False,-1.88,BULL,1.62,134.75,132.61
KVUE,240,-0.01,-2.21,0.005,False,False,False,False,False,False,False,False,False,17.11,17.26,16.84,17.27,-25.9,-1.56,-2.3,False,-0.47,BEAR,-0.58,17.32,17.42
