ticker,rank,score,annualized_slope,r_squared,m1,m2,m3,m4,m5,m6,m7,m8,all_pass,close,sma50,sma150,sma200,dist_from_52w_high_pct,ret_5d,dist_from_10d_high,pullback
DUK,139,9.35,26.79,0.3489,False,True,True,True,False,False,True,False,False,120.95,128.74,123.66,122.91,-9.4,-2.59,-5.2,False
XEL,141,8.86,23.75,0.3731,False,True,True,True,False,False,True,False,False,77.92,80.07,78.29,76.98,-6.5,-1.85,-4.3,False
KO,142,8.61,25.38,0.3391,True,True,True,True,True,False,True,False,False,80.82,77.0,73.45,71.79,-0.2,3.06,0.0,False
CMS,143,8.59,25.02,0.3435,False,True,True,True,False,False,True,False,False,71.64,75.83,73.13,72.49,-9.7,-1.34,-4.6,False
NFLX,146,8.4,42.72,0.1966,False,False,False,False,False,False,False,True,False,87.02,94.45,96.46,102.56,-35.0,-0.54,-4.4,False
WEC,147,8.32,21.7,0.3836,False,True,True,True,False,False,True,False,False,109.16,115.0,111.49,110.61,-8.1,-2.24,-6.3,False
DE,148,7.81,35.9,0.2176,True,True,True,True,False,False,True,False,False,561.83,580.08,530.8,517.27,-14.9,-2.26,-5.0,False
HLT,150,7.47,24.41,0.3059,True,True,True,True,True,False,True,False,False,316.17,313.3,295.93,288.81,-7.8,-0.19,-1.7,False
PSA,151,6.5,26.18,0.2484,True,True,True,True,False,False,True,False,False,292.47,293.36,283.4,282.31,-6.3,-5.97,-6.1,False
PPL,152,6.46,22.07,0.2927,False,True,True,True,False,False,True,False,False,34.88,37.95,36.51,36.3,-12.4,-2.87,-7.7,False
AAPL,153,6.1,25.1,0.2432,True,True,True,False,True,True,True,True,False,300.23,265.97,266.35,258.65,0.0,2.45,0.0,False
CARR,154,6.05,32.33,0.1871,True,False,False,True,True,False,True,False,False,64.67,60.48,58.06,59.19,-19.0,-3.23,-4.8,True
SWKS,156,5.74,33.55,0.1711,True,False,False,False,True,True,True,True,False,68.53,59.43,62.58,65.13,-15.5,2.62,-5.6,False
EQT,158,5.7,32.26,0.1766,False,True,True,True,False,False,True,False,False,56.22,60.34,57.34,55.96,-17.0,0.46,-4.6,False
ED,159,5.21,20.95,0.2487,True,True,True,True,False,False,True,False,False,105.36,109.91,103.75,102.14,-8.0,-0.06,-3.1,False
KR,160,5.09,27.9,0.1824,False,False,False,True,False,False,True,False,False,66.02,69.82,66.55,66.86,-12.7,0.58,-2.3,False
CB,161,4.92,18.55,0.2655,True,True,True,True,False,False,True,False,False,324.15,325.91,310.88,302.01,-5.2,1.41,-0.3,False
HUBB,162,3.84,21.95,0.1751,True,True,True,True,False,False,True,False,False,479.97,505.54,476.79,464.66,-14.0,-2.56,-7.0,False
DD,165,3.36,22.19,0.1514,True,True,True,True,True,True,True,False,False,49.31,46.52,43.11,40.17,-3.9,-0.9,-3.6,False
D,166,3.35,14.75,0.2269,True,True,True,True,False,False,True,False,False,61.73,62.35,60.76,60.27,-6.2,-0.26,-2.0,False
CDNS,167,3.26,29.02,0.1123,True,False,True,False,True,True,True,True,False,347.24,309.26,312.89,322.81,-7.0,-4.26,-4.7,True
IEX,168,3.1,20.56,0.1506,True,True,True,True,True,True,True,False,False,207.69,200.69,189.21,182.35,-4.8,-4.26,-4.8,True
ABNB,169,2.88,19.88,0.1449,True,True,True,True,False,False,True,True,False,132.85,133.96,129.48,128.25,-7.9,-6.11,-6.1,False
TDY,170,2.87,20.98,0.1369,True,True,True,True,False,False,True,False,False,616.58,636.02,587.74,579.9,-10.5,-0.77,-4.3,False
NSC,171,2.66,17.87,0.149,True,True,True,True,True,True,True,False,False,315.95,298.72,293.61,290.23,-1.3,1.26,-0.5,False
ESS,172,2.65,13.82,0.192,True,False,False,False,True,False,True,True,False,267.06,253.19,252.72,253.41,-5.9,1.33,-1.8,False
AME,173,2.56,16.81,0.1525,True,True,True,True,True,True,True,False,False,227.9,225.36,213.76,206.54,-5.6,-1.94,-5.6,True
EXC,174,2.47,18.63,0.1324,False,True,True,True,False,False,True,False,False,43.38,47.44,45.91,45.33,-13.7,-1.21,-6.9,False
AFL,175,2.46,12.27,0.2004,True,True,True,True,True,False,True,False,False,116.81,111.84,110.67,109.48,-0.0,3.28,0.0,False
INVH,176,2.44,17.79,0.1374,True,False,False,False,True,False,True,True,False,27.93,26.42,26.71,27.28,-15.4,-2.78,-3.6,True
MDLZ,177,2.27,15.08,0.1508,True,False,False,True,True,False,True,False,False,60.44,58.18,57.26,58.16,-12.3,-1.8,-2.3,True
CME,178,2.23,18.35,0.1216,True,True,True,True,True,False,True,False,False,298.86,296.93,281.87,276.68,-6.3,6.26,0.0,False
O,180,2.12,14.58,0.1454,True,True,True,True,False,False,True,False,False,61.12,62.69,59.93,59.12,-8.7,-1.29,-4.5,False
PCG,181,2.09,22.45,0.0929,False,True,True,True,False,False,True,False,False,16.13,17.29,16.56,16.19,-15.4,0.37,-4.0,False
PFE,182,2.06,12.69,0.1622,False,True,True,True,False,False,True,False,False,25.33,26.55,25.42,24.96,-9.8,-1.36,-2.9,False
EQR,183,1.95,13.78,0.1413,True,False,False,True,True,False,True,False,False,63.88,61.71,60.97,61.32,-6.7,-2.53,-3.6,True
HPQ,184,1.81,17.34,0.1043,False,False,False,False,True,False,False,True,False,20.81,19.65,21.49,22.69,-26.4,-8.25,-8.2,True
CRWD,185,1.69,27.7,0.0611,True,True,True,False,True,True,True,True,False,594.08,442.54,464.05,460.47,0.0,12.56,0.0,False
DOV,186,1.53,14.6,0.105,True,True,True,True,False,True,True,False,False,210.77,215.26,203.14,195.59,-9.5,-4.12,-7.2,False
MSI,187,1.48,19.38,0.0763,False,False,True,True,False,False,True,False,False,393.28,439.46,416.87,427.65,-19.1,2.42,-10.2,False
BIIB,188,1.48,14.59,0.1017,True,True,True,True,True,True,True,False,False,192.95,185.39,177.02,167.72,-5.7,-0.26,-5.7,False
PANW,189,1.29,25.5,0.0507,True,False,False,False,True,True,True,True,False,242.83,175.6,183.55,185.64,0.0,16.81,0.0,False
DOC,190,1.25,15.07,0.0833,True,False,True,True,True,False,True,True,False,19.36,17.17,16.98,17.02,-2.1,-1.43,-2.1,True
HAS,191,1.19,14.35,0.0832,True,True,True,True,True,True,True,False,False,95.25,93.53,87.51,84.69,-9.5,-2.59,-2.6,True
T,192,1.17,18.07,0.0646,False,False,False,True,False,False,True,False,False,24.03,26.71,25.65,26.12,-16.6,-4.49,-7.9,False
L,193,0.96,9.2,0.1048,False,True,True,True,False,False,True,False,False,105.8,108.14,105.95,103.66,-6.0,1.24,-0.4,False
DGX,194,0.89,12.34,0.0718,False,True,True,True,False,False,True,False,False,186.61,195.03,188.66,186.08,-11.6,-0.42,-2.6,False
TPR,195,0.84,15.95,0.0524,False,True,True,True,False,True,True,False,False,129.32,143.3,131.35,125.24,-19.2,-3.12,-13.1,False
BMY,196,0.78,10.33,0.0754,True,True,True,True,False,True,True,False,False,57.0,58.31,53.88,51.57,-7.7,1.5,-0.7,False
QCOM,198,0.69,25.94,0.0268,True,False,True,False,True,True,True,True,False,201.49,148.98,157.71,157.72,-15.2,-8.03,-15.2,True
SNA,199,0.66,7.57,0.0869,True,True,True,True,False,False,True,False,False,359.65,371.86,358.93,350.65,-8.0,-3.84,-6.9,False
AIG,200,0.66,8.37,0.079,False,False,False,False,False,False,True,False,False,76.11,76.21,77.31,77.6,-11.6,-0.33,-3.0,False
JNJ,201,0.59,11.05,0.0531,True,True,True,True,False,True,True,False,False,226.71,234.51,218.73,207.87,-8.8,2.44,-1.8,False
FAST,202,0.52,8.76,0.0591,False,False,True,True,False,False,True,False,False,43.26,45.11,43.29,44.32,-12.8,-2.06,-3.6,False
CCI,203,0.49,8.91,0.055,False,False,False,False,True,False,True,False,False,86.66,85.99,87.31,89.36,-21.2,-4.32,-5.3,True
FE,205,0.44,10.13,0.043,False,True,True,True,False,False,True,False,False,43.82,48.67,46.73,45.72,-14.7,-1.15,-5.4,False
NWS,206,0.38,11.42,0.0333,False,False,False,False,True,False,True,True,False,29.74,28.92,29.0,30.03,-14.9,-5.01,-5.0,True
PEP,207,0.32,9.26,0.0347,False,True,True,True,False,False,True,False,False,149.12,155.14,151.23,148.61,-11.8,-3.56,-4.6,False
MRK,208,0.31,8.11,0.0385,True,True,True,True,False,True,True,False,False,111.38,115.68,106.69,100.37,-9.6,0.0,-1.9,False
FCX,209,0.29,11.56,0.0255,True,True,True,True,True,True,True,False,False,63.01,61.16,54.55,51.43,-10.4,2.21,-6.2,False
NWSA,210,0.26,9.04,0.0285,False,False,False,False,True,False,True,True,False,25.92,25.23,25.41,26.37,-16.1,-4.07,-4.1,True
NDSN,211,0.17,6.29,0.0271,True,True,True,True,True,True,True,False,False,274.88,274.61,260.0,250.19,-7.9,-3.05,-4.2,True
CI,212,0.16,5.62,0.0286,True,False,False,False,True,False,True,False,False,285.27,275.23,276.46,279.67,-13.3,-0.97,-5.1,False
AWK,213,0.1,4.86,0.0205,False,False,False,False,False,False,True,False,False,124.29,132.31,130.72,132.52,-13.2,0.1,-2.6,False
CFG,214,0.07,5.65,0.0133,True,True,True,True,False,True,True,False,False,60.86,61.24,58.4,56.24,-10.0,-4.5,-7.3,False
TJX,215,0.07,3.45,0.0194,False,True,True,True,False,False,True,False,False,147.43,156.86,152.97,148.9,-10.6,-3.87,-5.2,False
BALL,216,0.06,6.3,0.01,False,True,True,True,False,False,True,False,False,55.2,60.56,56.22,54.94,-18.3,-5.67,-9.4,False
CINF,217,0.04,2.56,0.0149,True,True,True,True,True,False,True,False,False,166.42,162.05,161.44,159.18,-3.0,3.05,0.0,False
IFF,218,0.03,4.83,0.007,True,True,False,True,True,False,True,False,False,73.1,72.19,69.85,68.29,-11.9,-9.81,-11.9,True
AVB,219,0.02,3.31,0.0075,True,False,False,False,True,False,True,False,False,180.84,172.64,175.2,177.81,-10.0,-1.76,-3.4,True
HUM,220,0.02,8.1,0.0019,True,False,True,False,True,True,True,True,False,305.12,207.12,229.48,240.74,-1.0,10.97,0.0,False
VICI,221,0.02,2.37,0.0082,False,False,False,False,False,False,True,False,False,27.9,28.13,28.37,29.14,-13.9,-3.26,-3.5,False
CHD,222,0.02,3.25,0.0047,True,True,False,True,False,False,True,False,False,94.05,95.27,91.37,91.24,-10.6,0.65,-1.1,False
ORCL,223,0.01,4.59,0.0018,False,False,False,False,True,True,False,True,False,192.95,163.73,189.94,208.48,-40.8,-1.53,-1.5,True
ALGN,224,0.01,3.31,0.0036,False,True,False,True,False,False,True,False,False,157.25,175.35,163.97,156.87,-24.1,-6.83,-9.6,False
HIG,226,0.01,2.09,0.0059,False,True,True,True,False,False,True,False,False,133.92,135.74,134.19,133.1,-6.3,1.44,-0.3,False
ELV,227,-0.0,-0.92,0.0001,True,True,True,False,True,True,True,True,False,392.68,326.0,333.52,327.24,-2.8,3.86,-1.7,False
ACGL,228,-0.0,-0.27,0.0001,False,True,True,True,False,False,True,False,False,93.98,95.26,94.14,93.21,-7.8,0.19,-0.8,False
DAL,229,0.0,1.47,0.0007,True,True,True,True,True,True,True,False,False,70.23,67.12,66.06,64.04,-6.5,-4.23,-4.2,True
EXR,230,-0.0,-0.41,0.0001,False,True,False,True,False,False,True,False,False,136.9,138.91,137.26,137.1,-9.3,-4.47,-5.4,False
YUM,231,-0.0,-0.93,0.0014,False,True,True,True,False,False,True,False,False,149.97,157.64,153.65,151.58,-10.8,-1.3,-4.6,False
AMT,232,0.0,0.16,0.0,False,False,False,False,False,False,True,False,False,170.63,176.94,177.76,181.84,-24.4,-3.34,-5.7,False
MSCI,233,-0.0,-1.35,0.001,False,True,True,True,False,False,True,True,False,561.72,563.23,562.97,562.16,-9.7,-4.05,-4.5,False
OMC,234,-0.0,-0.64,0.0002,False,True,True,True,False,False,True,True,False,70.83,76.64,75.99,75.7,-16.6,-8.08,-8.8,False
MET,235,0.0,0.45,0.0001,True,False,True,False,True,False,True,False,False,79.78,73.72,75.88,76.33,-2.0,2.96,0.0,False
KEY,236,0.0,1.12,0.0006,True,True,True,True,True,True,True,False,False,21.04,20.8,20.03,19.54,-8.5,-2.59,-5.4,True
KDP,237,-0.0,-0.86,0.0004,True,False,False,False,True,False,True,False,False,28.93,27.31,27.53,27.87,-15.6,0.35,-1.3,False
WM,238,-0.0,-0.25,0.0001,False,True,False,True,False,False,True,False,False,219.82,228.63,221.59,221.45,-10.5,2.07,-3.5,False
GILD,239,-0.01,-2.74,0.0021,False,True,True,True,False,True,True,False,False,129.58,137.27,131.53,126.81,-16.4,-1.33,-4.9,False
KVUE,240,-0.01,-2.21,0.005,False,False,False,False,False,False,False,False,False,17.11,17.26,16.84,17.27,-25.9,-1.56,-2.3,False
PEG,241,-0.01,-1.95,0.0045,False,False,False,False,False,False,True,False,False,76.44,80.9,80.82,81.07,-13.2,-0.89,-5.0,False
URI,242,-0.01,-4.9,0.0028,True,False,True,False,True,True,True,True,False,961.15,822.49,848.04,867.99,-5.2,2.79,-1.2,False
AIZ,243,-0.01,-2.11,0.0027,True,True,True,False,True,True,True,True,False,254.61,225.83,226.32,222.03,0.0,6.23,0.0,False
